PAYER_NAME,PAYER_AREA,NATIONAL_PAYER_ID,SUBSCRIBER_ID,PAYER_PERSON_ID,SUBSCRIBER_OR_DEPENDENT_INDICATOR,RELATIONSHIP,MEMBER_ID,MEMBER_ID_FAMILY_SEQUENCE_NUMBER,PREVIOUS_MEMBER_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME_SUFFIX,DOB,LAST_4_DIGIT_SSN,GENDER,MARITAL_STATUS,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE,COUNTRY,ZIP_CODE,PHONE_NUMBER_1,PHONE_NUMBER_2,EMAIL_ADDRESS,GROUP_NUMBER,GROUP_NAME,EMPLOYER_NAME,EMPLOYER_SIZE,BUSINESS_MODEL,REASON_FOR_MEDICARE_ENTITLEMENT,COVERAGE_TYPE,FUNDING_MODEL,EMPLOYMENT_STATUS,COBRA_START_DATE,COBRA_END_DATE,NOT_SUBJECT_TO_COB_INDICATOR,NOT_SUBJECT_TO_COB_REASON,INITIAL_COVERAGE_DATE,CURRENT_COVERAGE_START_DATE,COVERAGE_EXPIRED_DATE,ESRD_COORDINATION_PERIOD_START_DATE,ESRD_COORDINATION_PERIOD_END_DATE,EXISTING_COB_PAYER_NAME,EXISTING_COB_NATIONAL_PAYER_ID,EXISTING_COB_SUBSCRIBER_ID,EXISTING_COB_SUBSCRIBER_FIRST_NAME,EXISTING_COB_SUBSCRIBER_LAST_NAME,EXISTING_COB_SUBSCRIBER_DOB,EXISTING_COB_SUBSCRIBER_EMPLOYMENT_STATUS,EXISTING_COB_RELATIONSHIP,EXISTING_COB_MEMBER_ID,EXISTING_COB_FAMILY_SEQUENCE_NUMBER,EXISTING_COB_FIRST_NAME,EXISTING_COB_LAST_NAME,EXISTING_COB_DOB,EXISTING_COB_GROUP_NAME,EXISTING_COB_MEMBER_EMPLOYMENT_STATUS,EXISTING_COB_BUSINESS_MODEL,EXISTING_COB_COVERAGE_TYPE,EXISTING_COB_INITIAL_COVERAGE_DATE,EXISTING_COB_CURRENT_COVERAGE_START_DATE,EXISTING_COB_COVERAGE_EXPIRED_DATE,COB_STATE,COVERAGE_OVERLAP_START_DATE,COVERAGE_OVERLAP_END_DATE,EXISTING_COB_VERIFY_DATE,EXISTING_COB_INDICATOR,EXISTING_COB_CODE,PAYER_PRIMACY,COB_CLASSIFICATION_INDICATOR,PRIMACY_DETERMINATION_CODE
LongSage,COB04WK2PRIMACYDET,1245319599,687460397P1,,2,1,311493091P1,,,Justin,,Clark,,20070522,7791,2,9,05974 Paul Trace Suite 094,,Clarkside,WA,,59168,1001127622,,ydelgado@rodriguez-ramos.com,GRP01024,GMedicPlus,Schwartz LLC,1.0,3,2,52,1,,,,,,20150806,20210120,20220120,20210225.0,20220225.0,Intriq Medical,,376152703P1,Angela,Cox,19590317,3.0,2,376152703P1,,Melissa,Banks,19710530,HealthPro,3.0,1,MH,20210401,20210423,20220423,NH,20210423,20220120,,,,2,,
LongSage,COB04WK2OVERLAPSTART,1245319599,673716603P1,,2,1,381672705P1,,,Christopher,,Stewart,,19640505,8553,1,2,592 Maria Mountain Suite 066,,Martinshire,ND,,90404,1001127795,,gallegosrobert@yahoo.com,GRP01024,GMedicPlus,Ramirez-Allison,2.0,3,1,52,0,,,,,,20210415,20210427,20220427,,,LongSage,,253501604P1,Christopher,Stewart,19640505,,0,253501604P1,,Christopher,Stewart,19640505,HealthPro,,1,35,20210114,20210202,20220202,MS,20210427,20220202,,,,1,,
LongSage,COB04DIFFGRPNAME,1245319599,671346462P1,,2,1,781643190P1,,,Antonio,,James,,19860717,76,1,2,93825 Hernandez Landing,,East Alyssa,KS,,43836,1001127063,,burgessmichael@gmail.com,GRP01024,GMedicPlus,"Lowe, Nelson and Wheeler",0.0,3,2,AL,2,,,,,,20161118,20201205,20211205,20210101.0,20220101.0,LongSage,,570956261P1,Antonio,James,19860717,,0,570956261P1,,Antonio,James,19860717,GMedicPlus,,1,35,20210103,20201209,20211209,WA,20201209,20211205,,,,1,,
LongSage,COB04DIFFADDLINE1,1245319599,687671190P1,,2,1,862720524P1,,,Ashley,,Zimmerman,,20100227,1565,2,9,64926 Murphy Bridge Suite 245,,Port Megan,WA,,93433,1001127071,,ritamartinez@gmail.com,GRP01023,HealthPro,"Li, Osborne and Hudson",2.0,3,1,MH,0,,,,,,20210131,20201122,20211122,20210119.0,20220119.0,Intriq Medical,,226134415P1,Christopher,Mendez,19780407,2.0,1,226134415P1,,Gregory,Boone,19690119,HealthPro,3.0,1,88,20210408,20210331,20220331,WY,20210331,20211122,,,,1,,
LongSage,COB03Test1,1245319599,545663367P1,,2,2,545663368P1,,,Anthony,,Carroll,,19701211,3992,2,9,97970 Louis Village Apt. 242,,Wellsville,GA,,74300,1001128115,,josmith@ramirez.com,GRP01023,HealthPro,Anderson and Sons,2.0,3,1,1,0,,,,,,20210314,20210405,20220405,,,Cope Health,,248709382P1,James,Johnson,19620121,3.0,1,248709382P1,,Robert,Gonzalez,19920709,HealthPro,3.0,1,AL,20201128,20210424,20220424,MT,20210424,20220405,,,,1,,
LongSage,COB04WK2DEPEMPSTATUS,1245319599,634667307P1,,2,1,634667308P1,,,Emily,,Beard,,19820131,1048,1,9,17740 Emily Port Suite 047,,Goldenport,RI,,30894,1001127116,,christine61@klein.com,GRP01023,HealthPro,Davis-Luna,0.0,3,2,AL,2,,,,,,20160608,20210123,20220123,20201216.0,20211216.0,LongSage,,753852974P1,Emily,Beard,19820131,,0,753852974P1,,Emily,Beard,19820131,GMedicPlus,,1,35,20201123,20210312,20220312,IL,20210312,20220123,,,,1,,
LongSage,COB04WK2EMPSTATUS,1245319599,849598681P1,,1,0,849598681P1,,,Shannon,,Perez,,19560323,4448,1,2,3714 Alvarado Ramp,,South Stephanieland,OH,,2767,1001126956,,oliviajackson@ramsey.com,GRP01024,GMedicPlus,,,3,2,MH,0,,,,,,20160906,20210210,20220210,20210209.0,20220209.0,Intriq Medical,,445015595P1,Erin,Aguirre,19710603,2.0,1,445015595P1,,Barbara,Lewis,19600306,HealthPro,3.0,1,1,20210306,20210103,20220103,DE,20210210,20220103,,,,2,,
LongSage,COB04WK2OVERLAPSTART,1245319599,543702049P1,,2,1,694769758P1,,,Emily,,Floyd,,19721014,1774,1,0,666 Reginald Heights,,Cordovaburgh,FL,,39887,1001128293,,connorcollins@wright.com,GRP01024,GMedicPlus,Brown Group,1.0,3,2,MH,2,,,,,,20201204,20210312,20220312,20201212.0,20211212.0,LongSage,,607836253P1,Emily,Floyd,19721014,,0,607836253P1,,Emily,Floyd,19721014,GMedicPlus,,1,AL,20210125,20210506,20220506,AK,20210506,20220312,,,,2,,
LongSage,COB04WK2OVERLAPSTART,1245319599,240385635P1,,2,1,177188734P1,,,Raymond,,Fernandez,,19600116,9806,2,1,4930 Johnson Trail Suite 776,,North Johnville,OK,,47845,1001126732,,justinbell@gmail.com,GRP01024,GMedicPlus,"Shaw, Morgan and Patterson",2.0,3,1,AL,0,,,,,,20210504,20210501,20220501,,,Grey Leaf,,353214234P1,Paul,Lee,19600505,1.0,1,353214234P1,,Richard,Wilson,19750318,GMedicPlus,1.0,1,88,20210302,20210325,20220325,WA,20210501,20220325,,,,2,,
LongSage,COB04DIFFGRPNAME,1245319599,792586974P1,,1,0,792586974P1,,,Richard,,Clements,,20080411,524,1,0,26145 Daniel Row,,Stephensland,NY,,53681,1001128621,,xchaney@evans-blackwell.com,GRP01023,HealthPro,"Cardenas, Miranda and Manning",1.0,3,2,98,1,,,,,,20210214,20210313,20220313,20201229.0,20211229.0,LongSage,,525604199P1,Richard,Clements,20080411,,0,525604199P1,,Richard,Clements,20080411,GMedicPlus,,1,AL,20201123,20210413,20220413,ID,20210413,20220313,,,,2,,
LongSage,COB04WK2OtherPayName,1245319599,525112383P1,,1,0,525112383P1,,,Jill,,Robinson,,19851004,9825,1,0,497 Randall Plaza,,West Sarah,WV,,85722,1001127411,,sullivanlindsay@gmail.com,GRP01024,GMedicPlus,Hamilton PLC,0.0,3,1,52,0,,,,,,20210221,20210513,20220513,,,Cope Health,,965868665P1,Lisa,Morris,20140731,2.0,2,965868665P1,,Ricardo,Sanders,19790510,GMedicPlus,1.0,1,AL,20201122,20210122,20220122,PA,20210513,20220122,,,,2,,
LongSage,COB04WK2DEPEMPSTATUS,1245319599,438914719P1,,2,1,217260505P1,,,Theresa,,Gardner,,19860924,4750,1,2,2435 Heather Flats Apt. 242,,South Gabriel,UT,,868,1001127250,,tammyestrada@allen-mason.com,GRP01023,HealthPro,Roberts-Mcmahon,2.0,3,2,AL,0,,,,,,20170411,20201215,20211215,20201224.0,20211224.0,LongSage,,302785715P1,Theresa,Gardner,19860924,,0,302785715P1,,Theresa,Gardner,19860924,HealthPro,,1,35,20210515,20201128,20211128,NY,20201215,20211128,,,,1,,
LongSage,COB04WK2RXID,1245319599,351738307P1,,1,0,351738307P1,,,Steven,,Roberson,,20130921,4806,1,1,76057 Walsh Trail,,East Jessica,MO,,73104,1001129837,,vlittle@yahoo.com,GRP01023,HealthPro,"Rush, Bell and Dean",1.0,3,1,MH,2,,,,,,20210508,20201209,20211209,,,Caprock,,292227417P1,Vicki,Atkinson,19590905,2.0,2,292227417P1,,Meghan,Lucas,20010328,HealthPro,1.0,1,88,20210317,20210223,20220223,WA,20210223,20211209,,,,2,,
LongSage,COB01Test1,1245319599,187140470P1,,2,2,162601363P1,,,Connor,,Sanchez,,20090726,6261,2,1,3938 Conley Loop,,Danielside,WI,,82766,1001128994,,johnsoncrystal@farley.com,GRP01024,GMedicPlus,Pierce and Sons,0.0,3,1,AL,1,,,,,,20210210,20210506,20220506,,,Aristocrat,,991673312P1,Nicole,Jimenez,20110808,2.0,1,991673312P1,,Robert,Lawson,19690613,GMedicPlus,2.0,1,35,20210507,20210203,20220203,WV,20210506,20220203,,,,1,,
LongSage,COB04WK2PHARMGRPNBR,1245319599,479608426P1,,1,0,479608426P1,,,Cheryl,,Contreras,,19870211,6541,2,2,252 Morales Coves,,Lake Amanda,CO,,56729,1001130330,,hernandezmatthew@yahoo.com,GRP01023,HealthPro,Nunez-Walters,2.0,3,1,MH,2,,,,,,20201229,20201213,20211213,,,Aristocrat,,746254208P1,Katherine,Case,19590122,2.0,2,746254208P1,,Kara,Smith,19741004,HealthPro,3.0,1,35,20210203,20210201,20220201,NJ,20210201,20211213,,,,1,,
LongSage,COB04WK2OtherPayName,1245319599,916881358P1,,1,0,916881358P1,,,Kelly,,Carrillo,,19920925,7261,2,9,3024 Sandra Glen Suite 437,,Chenchester,WA,,63191,1001128573,,richard06@thomas-mcguire.com,GRP01023,HealthPro,Hardin-Nielsen,2.0,3,1,35,1,,,,,,20210402,20201214,20211214,,,Grey Leaf,,284399435P1,Hailey,Johnson,20130806,1.0,2,284399435P1,,Heather,Lopez,19560513,GMedicPlus,1.0,1,88,20210304,20210121,20220121,MI,20210121,20211214,,,,1,,
LongSage,COB01Test1,1245319599,411151485P1,,1,0,411151485P1,,,Amy,,Duran,,19700327,2619,2,0,967 Tammy Locks,,Port Erin,PA,,75120,1001128418,,brittanyrobles@hotmail.com,GRP01023,HealthPro,Clark PLC,0.0,3,1,98,2,,,,,,20210115,20210331,20220331,20210213.0,20220213.0,Grey Leaf,,512838297P1,Bradley,Greene,20161026,3.0,1,512838297P1,,Kimberly,Alvarez,19910527,GMedicPlus,3.0,1,35,20210118,20201125,20211125,MN,20210331,20211125,,,,1,,
LongSage,COB04DIFFNATPAYERID,1245319599,385560343P1,,2,2,698449688P1,,,Ashley,,Ward,,20100309,7659,2,0,310 Sawyer Plains,,Larsenstad,LA,,55870,1001129896,,jhess@brown.com,GRP01024,GMedicPlus,Anderson-Weaver,2.0,3,2,MH,2,,,,,,20210304,20201220,20211220,20201214.0,20211214.0,Cope Health,,644696996P1,Anthony,Pearson,19911113,3.0,1,644696996P1,,Christina,Barrett,19841012,GMedicPlus,3.0,1,AL,20210304,20210303,20220303,VA,20210303,20211220,,,,1,,
LongSage,COB04WK2PHARMGRPNBR,1245319599,452141153P1,,1,0,452141153P1,,,Maxwell,,Hill,,19850530,6741,1,9,2462 Kayla Forks Suite 036,,Lake Thomasview,MA,,1398,1001128180,,twood@gmail.com,GRP01024,GMedicPlus,"Austin, Pearson and Cook",1.0,3,1,98,2,,,,,,20210131,20201231,20211231,,,Cope Health,,378602874P1,Dawn,Mendez,19630114,1.0,2,378602874P1,,Amanda,Patel,19610928,HealthPro,1.0,1,AL,20201125,20210101,20220101,VA,20210101,20211231,,,,1,,
LongSage,COB04DIFFLASTNAME,1245319599,708097101P1,,2,1,634953375P1,,,Brandon,,Malone,,19630107,3059,1,0,4708 Donovan Union,,Samueltown,RI,,60412,1001130472,,lcooper@quinn.com,GRP01023,HealthPro,,,3,1,AL,0,,,,,,20210116,20210127,20220127,,,LongSage,,720191106P1,Brandon,Malone,19630107,,0,720191106P1,,Brandon,Malone,19630107,HealthPro,,1,MH,20210311,20201231,20211231,MA,20210127,20211231,,,,2,,
LongSage,COB04WK2PRIMACYDET,1245319599,517269927P1,,1,0,517269927P1,,,Kimberly,,Perez,,20071127,751,1,1,744 Kenneth Knoll,,North Michellehaven,NH,,51235,1001129343,,peggy84@hotmail.com,GRP01024,GMedicPlus,"Lee, Taylor and Brown",2.0,3,1,MH,1,,,,,,20201202,20210120,20220120,,,Intriq Medical,,125411419P1,Michael,Wallace,19970608,3.0,2,125411419P1,,Joseph,Phillips,20210312,GMedicPlus,3.0,1,AL,20210130,20201210,20211210,NJ,20210120,20211210,,,,1,,
LongSage,COB04WK2OVERLAPEND,1245319599,511370982P1,,2,1,787624721P1,,,Nicholas,,Rivers,,19590203,9039,1,0,13414 Gibson Haven Suite 498,,West Janetfurt,WI,,76271,1001129644,,eric56@buckley.biz,GRP01024,GMedicPlus,,,3,1,35,0,,,,,,20201229,20201121,20211121,,,Intriq Medical,,637102663P1,Jeffrey,Moore,19810727,2.0,1,637102663P1,,Barbara,Monroe,19511217,HealthPro,3.0,1,88,20201212,20210129,20220129,NH,20210129,20211121,,,,1,,
LongSage,COB04WK2NEWBORN,1245319599,120265836P1,,2,1,160761604P1,,,Abigail,,Johnson,,19840703,8504,1,0,13068 Brown Stravenue,,Chaseburgh,VA,,26799,1001129855,,christophergreen@kelley.com,GRP01023,HealthPro,,,3,2,1,0,,,,,,20201225,20210115,20220115,20210311.0,20220311.0,LongSage,,303396908P1,Abigail,Johnson,19840703,,0,303396908P1,,Abigail,Johnson,19840703,GMedicPlus,,1,88,20210416,20210102,20220102,PA,20210115,20220102,,,,2,,
LongSage,COB04WK2RXID,1245319599,279345487P1,,1,0,279345487P1,,,Scott,,Carey,,19950821,7236,2,0,316 Lawrence Village Apt. 053,,South Meganfort,MI,,15960,1001128995,,javiersmith@tucker.biz,GRP01023,HealthPro,"Gill, Carney and Jones",0.0,3,2,88,0,,,,,,20210429,20210106,20220106,20201201.0,20211201.0,Aristocrat,,142857346P1,Vanessa,Parker,20060510,3.0,2,142857346P1,,Sean,Murray,19571209,GMedicPlus,3.0,1,1,20201219,20210113,20220113,NH,20210113,20220106,,,,1,,
LongSage,COB04WK2OtherPayName,1245319599,224072389P1,,2,2,224072390P1,,,Timothy,,Barker,,20130614,1406,2,9,52317 Brian Shoal Apt. 057,,Ashleystad,IA,,88536,1001127718,,pachecomichael@leonard.com,GRP01024,GMedicPlus,Palmer LLC,1.0,3,1,52,1,,,,,,20210329,20210323,20220323,20210227.0,20220227.0,Aristocrat,,556536366P1,John,Johnston,20090131,3.0,2,556536366P1,,Michelle,Bennett,19621030,GMedicPlus,3.0,1,1,20210424,20201209,20211209,RI,20210323,20211209,,,,1,,
LongSage,COB03Test1,1245319599,720045982P1,,2,2,943985320P1,,,Dale,,Caldwell,,19590905,8054,2,1,928 Nunez Run,,Scottberg,VT,,78409,1001127673,,brian41@gmail.com,GRP01023,HealthPro,Berry-Rodriguez,0.0,3,1,52,1,,,,,,20210513,20210130,20220130,,,LongSage,,403870317P1,Dale,Caldwell,19590905,,0,403870317P1,,Dale,Caldwell,19590905,GMedicPlus,,1,35,20210221,20210411,20220411,ND,20210411,20220130,,,,1,,
LongSage,COB04WK2PBM,1245319599,259789349P1,,1,0,259789349P1,,,Vanessa,,Vargas,,19700110,2171,1,1,2818 Long Estate,,Garciaport,MI,,83056,1001128804,,thomaskaitlin@pineda-ramsey.com,GRP01023,HealthPro,"Wells, Mclaughlin and Bass",2.0,3,1,MH,2,,,,,,20210518,20201212,20211212,,,Cope Health,,569571234P1,Angela,Burgess,19981231,2.0,2,569571234P1,,Rodney,Osborn,19750819,GMedicPlus,2.0,1,AL,20201223,20210429,20220429,CO,20210429,20211212,,,,1,,
LongSage,COB03Test1,1245319599,404848060P1,,2,1,404848061P1,,,Julian,,Torres,,19750606,2157,2,2,370 Clark Loop Suite 414,,Paynemouth,NC,,60946,1001128047,,justinwilliams@yahoo.com,GRP01023,HealthPro,"Rodgers, Garza and Oconnor",0.0,3,1,35,1,,,,,,20210108,20201204,20211204,,,LongSage,,298068085P1,Julian,Torres,19750606,,0,298068085P1,,Julian,Torres,19750606,HealthPro,,1,1,20210511,20210209,20220209,MD,20210209,20211204,,,,2,,
LongSage,COB04DIFFADDLINE1,1245319599,149252515P1,,2,1,149252516P1,,,Shaun,,Davis,,19751025,1627,1,2,898 Joshua Turnpike Suite 489,,Fernandofurt,OH,,37338,1001127319,,davidreyes@gmail.com,GRP01024,GMedicPlus,,,3,1,AL,1,,,,,,20210206,20201229,20211229,,,Grey Leaf,,432913211P1,Jimmy,Nunez,20100516,3.0,1,432913211P1,,Amanda,Nicholson,19770224,GMedicPlus,2.0,1,35,20210516,20210128,20220128,OK,20210128,20211229,,,,1,,
LongSage,COB04DIFFFIRSTNAME,1245319599,589047452P1,,2,1,391365291P1,,,Samantha,,Potter,,19830725,3033,2,9,6462 Richard Lock Apt. 878,,Lake Frederick,NM,,94534,1001129220,,allisonallen@gmail.com,GRP01024,GMedicPlus,Moore-Jones,1.0,3,1,AL,1,,,,,,20201221,20201124,20211124,,,Cope Health,,954404574P1,Mark,Ellison,19980612,2.0,1,954404574P1,,Christopher,Chan,19540531,HealthPro,1.0,1,88,20210505,20210225,20220225,TX,20210225,20211124,,,,1,,
LongSage,COB04WK2EMPSTATUS,1245319599,739948221P1,,1,0,739948221P1,,,Felicia,,Rivera,,19811125,9317,2,1,560 Scott Rue Suite 844,,South Breannaville,WA,,30841,1001128388,,twade@yahoo.com,GRP01024,GMedicPlus,"Dean, Reyes and Ross",1.0,3,2,1,0,,,,,,20210122,20210215,20220215,20210521.0,20220521.0,LongSage,,764903468P1,Felicia,Rivera,19811125,,0,764903468P1,,Felicia,Rivera,19811125,GMedicPlus,,1,AL,20201121,20210329,20220329,HI,20210329,20220215,,,,2,,
LongSage,COB04WK2RXID,1245319599,191533422P1,,2,1,191533423P1,,,Jessica,,Davis,,20000721,1725,2,0,55752 Hogan Forks,,Simsmouth,ME,,73963,1001129789,,andrew00@yahoo.com,GRP01023,HealthPro,"Burke, Hall and Mcdonald",0.0,3,1,MH,2,,,,,,20201127,20210320,20220320,,,LongSage,,791353686P1,Jessica,Davis,20000721,,0,791353686P1,,Jessica,Davis,20000721,GMedicPlus,,1,AL,20201217,20210506,20220506,HI,20210506,20220320,,,,2,,
LongSage,COB02Test1,1245319599,377776568P1,,1,0,377776568P1,,,Sabrina,,Watkins,,19510118,6011,1,0,6670 Gonzalez Fords Apt. 945,,Nathanside,WV,,2114,1001127092,,brandi56@sweeney-adkins.com,GRP01023,HealthPro,"Miller, Wise and Wright",1.0,3,1,52,1,,,,,,20210121,20201209,20211209,,,LongSage,,579613913P1,Sabrina,Watkins,19510118,,0,579613913P1,,Sabrina,Watkins,19510118,HealthPro,,1,AL,20210516,20210520,20220520,MN,20210520,20211209,,,,1,,
