PAYER_NAME,PAYER_AREA,NATIONAL_PAYER_ID,SUBSCRIBER_ID,PAYER_PERSON_ID,SUBSCRIBER_OR_DEPENDENT_INDICATOR,RELATIONSHIP,MEMBER_ID,MEMBER_ID_FAMILY_SEQUENCE_NUMBER,PREVIOUS_MEMBER_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME_SUFFIX,DOB,LAST_4_DIGIT_SSN,GENDER,MARITAL_STATUS,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE,COUNTRY,ZIP_CODE,PHONE_NUMBER_1,PHONE_NUMBER_2,EMAIL_ADDRESS,GROUP_NUMBER,GROUP_NAME,EMPLOYER_NAME,EMPLOYER_SIZE,BUSINESS_MODEL,REASON_FOR_MEDICARE_ENTITLEMENT,COVERAGE_TYPE,FUNDING_MODEL,EMPLOYMENT_STATUS,COBRA_START_DATE,COBRA_END_DATE,NOT_SUBJECT_TO_COB_INDICATOR,NOT_SUBJECT_TO_COB_REASON,INITIAL_COVERAGE_DATE,CURRENT_COVERAGE_START_DATE,COVERAGE_EXPIRED_DATE,ESRD_COORDINATION_PERIOD_START_DATE,ESRD_COORDINATION_PERIOD_END_DATE,EXISTING_COB_PAYER_NAME,EXISTING_COB_NATIONAL_PAYER_ID,EXISTING_COB_SUBSCRIBER_ID,EXISTING_COB_SUBSCRIBER_FIRST_NAME,EXISTING_COB_SUBSCRIBER_LAST_NAME,EXISTING_COB_SUBSCRIBER_DOB,EXISTING_COB_SUBSCRIBER_EMPLOYMENT_STATUS,EXISTING_COB_RELATIONSHIP,EXISTING_COB_MEMBER_ID,EXISTING_COB_FAMILY_SEQUENCE_NUMBER,EXISTING_COB_FIRST_NAME,EXISTING_COB_LAST_NAME,EXISTING_COB_DOB,EXISTING_COB_GROUP_NAME,EXISTING_COB_MEMBER_EMPLOYMENT_STATUS,EXISTING_COB_BUSINESS_MODEL,EXISTING_COB_COVERAGE_TYPE,EXISTING_COB_INITIAL_COVERAGE_DATE,EXISTING_COB_CURRENT_COVERAGE_START_DATE,EXISTING_COB_COVERAGE_EXPIRED_DATE,COB_STATE,COVERAGE_OVERLAP_START_DATE,COVERAGE_OVERLAP_END_DATE,EXISTING_COB_VERIFY_DATE,EXISTING_COB_INDICATOR,EXISTING_COB_CODE,PRIMACY_DETERMINATION_CODE,COB_CLASSIFICATION_INDICATOR,PAYER_PRIMACY
LongSage,COB04WK2DEPEMPSTATUS,1245319599,851069502P1,,2,1,421324500P1,,,Eric,,Taylor,,19570606,8705,1,1,USNV Burns,,Myersmouth,AR,,95286,1001126630,,tyler13@burch-baker.org,GRP01024,GMedicPlus,Todd-Melendez,2.0,3,2.0,AL,1,,,,,,20160708,20210418,20220418,20210521.0,20220521.0,LongSage,,836349463P1,Eric,Taylor,19570606,,0,836349463P1,,Eric,Taylor,19570606,GMedicPlus,,1,AL,20210509,20210519,20220519,SC,20210519,20220418,,,,D010,,
LongSage,COB04Test1,1245319599,726115247P1,,1,0,726115247P1,,,Karen,,Gillespie,,19480423,7520,2,1,383 Andrew Mews,,Chandlerland,AL,,70666,1001124582,,sullivanjulie@padilla.com,,,,,3,1.0,52,1,,,,1.0,,20210405,20201228,20211228,,,Caprock,,402300911P1,Kaitlyn,Davis,19540225,0.0,1,402300911P1,,Karen,Gillespie,19480423,GMedicPlus,,1,52,20210127,20210320,20220320,MA,20210320,20211228,,,,U007,,
LongSage,COB02Test1,1245319599,620095091P1,,1,0,620095091P1,,,Tammy,,Jones,,20180614,1391,1,2,4815 Montgomery Knoll,,New Cassandra,RI,,72889,1001129033,,kevinlove@hotmail.com,GRP01024,GMedicPlus,"Paul, Lee and Fernandez",1.0,3,1.0,52,2,,,,,,20210318,20210510,20220510,,,Aristocrat,,632078387P1,William,Hensley,19911202,2.0,1,632078387P1,,Courtney,Maynard,19580123,HealthPro,3.0,1,52,20201220,20201201,20211201,CO,20210510,20211201,,,,D001,,
LongSage,COB04WK2RXID,1245319599,929867892P1,,1,0,929867892P1,,,Randy,,Downs,,19770110,225,1,9,9250 Ruiz Fords Apt. 506,,New Edwin,KS,,8872,1001127523,,cvega@johnson-king.com,GRP01024,GMedicPlus,Murray-Friedman,0.0,3,1.0,1,0,,,,,,20210323,20210211,20220211,,,Aristocrat,,478631708P1,Devin,Sullivan,19530107,1.0,1,478631708P1,,Madison,Hancock,19711229,GMedicPlus,3.0,1,1,20201129,20210331,20220331,SD,20210331,20220211,,,,D001,,
LongSage,COB04DIFFLASTNAME,1245319599,567453289P1,,2,1,583490329P1,,,Joseph,,Medina,,19650201,4820,1,0,476 Wilson Parkway,,Gonzalezfurt,CO,,45988,1001127361,,zjohnson@davis-simon.com,GRP01024,GMedicPlus,"Jones, Fleming and Fischer",0.0,3,2.0,AL,2,,,,,,20151230,20210107,20220107,20210413.0,20220413.0,Cope Health,,322182889P1,Steven,Rodriguez,19970708,2.0,1,322182889P1,,Christina,Gomez,20070625,HealthPro,2.0,1,AL,20201230,20210212,20220212,LA,20210212,20220107,,,,D010,,
LongSage,COB04WK2OVERLAPEND,1245319599,862156047P1,,1,0,862156047P1,,,Bryce,,Moon,,19741217,2625,1,0,667 John Spurs,,Marcusland,AZ,,79001,1001129718,,douglas80@maldonado-powers.com,GRP01024,GMedicPlus,"Thompson, Reyes and Harrison",2.0,3,2.0,UC,0,,,,,,20201206,20210121,20220121,20210325.0,20220325.0,LongSage,,378832141P1,Bryce,Moon,19741217,,0,378832141P1,,Bryce,Moon,19741217,HealthPro,,1,UC,20201212,20210505,20220505,ID,20210505,20220121,,,,D011,,
LongSage,COB04WK2CCXD,1245319599,834794368P1,,2,1,834794369P1,,,Nathan,,Parrish,,20040408,2343,2,0,Unit 6608 Box 3943,,South Corey,MS,,31741,1001130157,,pamela06@greene.biz,GRP01024,GMedicPlus,Garrett LLC,2.0,3,1.0,MH,1,,,,,,20210521,20210406,20220406,,,Cope Health,,228605442P1,David,Hill,19990521,2.0,1,228605442P1,,Taylor,Riddle,19850731,HealthPro,3.0,1,MH,20210208,20201126,20211126,ND,20210406,20211126,,,,D001,,
LongSage,COB04WK2PBM,1245319599,540875818P1,,2,2,431924002P1,,,Pamela,,Perez,,19920410,3019,2,9,429 Franco Greens Apt. 170,,Martinezstad,VA,,89103,1001127259,,cbell@brown.com,GRP01024,GMedicPlus,"Johnson, Khan and Frazier",1.0,3,2.0,MH,0,,,,,,20160524,20210406,20220406,20201209.0,20211209.0,LongSage,,720240885P1,Pamela,Perez,19920410,,0,720240885P1,,Pamela,Perez,19920410,HealthPro,,1,MH,20210124,20210121,20220121,CT,20210406,20220121,,,,D010,,
LongSage,COB04WK2CCXD,1245319599,839570842P1,,1,0,839570842P1,,,Judy,,Cook,,19531211,7033,1,1,3457 Candace Forge Suite 113,,Daymouth,AZ,,46164,1001125007,,johnsonscott@hotmail.com,GRP01024,GMedicPlus,Schroeder-Rogers,2.0,1,,MH,2,0.0,,,1.0,,20210227,20210406,20220406,,,Intriq Medical,,910070397P1,Judy,Cook,19550601,,1,910070397P1,,Judy,Cook,19531211,GMedicPlus,,3,MH,20210424,20210411,20220411,SD,20210411,20220406,,,,U007,,
LongSage,COB04WK2PHARMGRPNBR,1245319599,588686817P1,,2,1,600997923P1,,,Jonathan,,Williams,,19650222,1650,1,1,0500 Murray Corner,,North Nicoleborough,MD,,47448,1001128947,,dsims@williams.com,GRP01024,GMedicPlus,,,3,1.0,MH,1,,,,,,20210409,20210520,20220520,,,Aristocrat,,566014081P1,Tiffany,Santana,19970430,1.0,1,566014081P1,,Sherry,Lucas,20070726,HealthPro,1.0,1,MH,20201221,20210213,20220213,IN,20210520,20220213,,,,D004,,
LongSage,COB04WK2NEWBORN,1245319599,461885361P1,,2,1,381544566P1,,,Jaime,,Smith,,19490509,4770,1,0,12527 Pamela Shores,,North Terriland,IA,,84743,1001124362,,jamesrodriguez@yahoo.com,GRP01023,HealthPro,"Allen, Green and Tate",,3,2.0,52,0,,,,1.0,,20201120,20201225,20211225,20210301.0,20220301.0,Intriq Medical,,642152092P1,Jaime,Smith,19490509,2.0,0,642152092P1,,Jaime,Smith,19490509,HealthPro,,3,52,20210420,20210101,20220101,UT,20210101,20211225,,,,U006,,
LongSage,COB02Test1,1245319599,249535742P1,,2,1,860301362P1,,,Sarah,,Dalton,,19471004,8344,2,1,46895 Erin Mall,,Frankland,OH,,89391,1001125320,,rstanley@hubbard.biz,,,,,3,1.0,52,0,,,,1.0,,20210406,20210311,20220311,,,Cope Health,,946899356P1,Sarah,Dalton,19471004,0.0,0,946899356P1,,Sarah,Dalton,19471004,HealthPro,0.0,1,52,20210404,20210416,20220416,NC,20210416,20220311,,,,U007,,
LongSage,COB04DIFFNATPAYERID,1245319599,241172777P1,,2,2,816623102P1,,,Yesenia,,Klein,,19730611,1060,1,9,419 Sharon Mills Suite 490,,Port Nancy,CT,,81841,1001127591,,gregorythompson@johnson.com,GRP01024,GMedicPlus,Vaughan and Sons,1.0,3,1.0,AL,0,,,,,,20210207,20210429,20220429,,,LongSage,,629247419P1,Yesenia,Klein,19730611,,0,629247419P1,,Yesenia,Klein,19730611,GMedicPlus,,1,AL,20201223,20201228,20211228,TX,20210429,20211228,,,,D004,,
LongSage,COB04WK2OVERLAPEND,1245319599,908721403P1,,2,1,983534715P1,,,Mia,,Harris,,19731124,2810,1,2,426 Jamie Pass,,South Ericchester,UT,,11833,1001127724,,andrewrivera@hotmail.com,GRP01023,HealthPro,Barnes-Santiago,0.0,3,1.0,1,1,,,,,,20210403,20201125,20211125,,,LongSage,,928372163P1,Mia,Harris,19731124,,0,928372163P1,,Mia,Harris,19731124,GMedicPlus,,1,1,20210518,20210323,20220323,DE,20210323,20211125,,,,D004,,
LongSage,COB04WK2CCXD,1245319599,243672710P1,,1,0,243672710P1,,,Jessica,,Morales,,20130219,6623,2,0,46842 Russo Rapid,,Nelsonville,WA,,41692,1001129506,,lisarivera@hotmail.com,GRP01023,HealthPro,,,3,1.0,52,2,,,,,,20201225,20210301,20220301,,,LongSage,,283418979P1,Jessica,Morales,20130219,,0,283418979P1,,Jessica,Morales,20130219,GMedicPlus,3.0,1,52,20210506,20210410,20220410,MO,20210410,20220301,,,,D001,,
LongSage,COB04WK2COBINDICATOR,1245319599,759591622P1,,1,0,759591622P1,,,Cole,,Roberts,,20200121,2778,1,2,627 Sharon Summit,,New Anthonyburgh,WV,,93234,1001127056,,kelleyshannon@gmail.com,GRP01023,HealthPro,Walker PLC,0.0,3,2.0,MH,0,,,,,,20161111,20210302,20220302,20210122.0,20220122.0,Grey Leaf,,576934878P1,Nicole,Long,20200103,3.0,1,576934878P1,,Elizabeth,Jackson,19820719,GMedicPlus,1.0,1,MH,20210507,20210223,20220223,OK,20210302,20220223,,,,D010,,
LongSage,COB01Test1,1245319599,890865706P1,,1,0,890865706P1,,,Ashley,,Wilcox,,19510326,8154,2,1,168 Adams View,,Port Christy,CO,,3704,1001125239,,rogerserin@gmail.com,GRP01024,GMedicPlus,Medina PLC,2.0,1,,MH,2,0.0,,,0.0,,20210225,20201217,20211217,,,Aristocrat,,878311818P1,Mathew,Dean,19531201,,1,878311818P1,,Ashley,Wilcox,19510326,HealthPro,,3,MH,20201118,20210409,20220409,ME,20210409,20211217,,,,U007,,
LongSage,COB04WK2NEWBORN,1245319599,117337490P1,,2,1,167002379P1,,,Lisa,,Hogan,,19551017,3369,1,0,7000 Leslie Mills,,North Michaelmouth,CO,,35312,1001129628,,oconley@yahoo.com,GRP01023,HealthPro,,,3,2.0,MH,2,,,,,,20210130,20210401,20220401,20210510.0,20220510.0,Grey Leaf,,242964282P1,Frederick,Harper,19561015,2.0,1,242964282P1,,Ashley,Cooke,19920612,HealthPro,2.0,1,MH,20210501,20201209,20211209,NY,20210401,20211209,,,,D011,,
LongSage,COB04WK2PRIMACY,1245319599,876529953P1,,1,0,876529953P1,,,Cameron,,Cook,,19811212,2011,1,9,429 Stephanie Ports,,New Hannahland,OR,,1314,1001130045,,dominguezpamela@schultz.com,GRP01023,HealthPro,Odom Group,2.0,3,1.0,1,1,,,,,,20210315,20210305,20220305,,,LongSage,,878921805P1,Cameron,Cook,19811212,,0,878921805P1,,Cameron,Cook,19811212,HealthPro,3.0,1,1,20210427,20210115,20220115,MD,20210305,20220115,,,,D001,,
LongSage,COB03Test1,1245319599,721760088P1,,1,0,721760088P1,,,Justin,,Beasley,,19530923,713,1,0,89875 Tammy Throughway,,Lake Williamburgh,OR,,41966,1001125994,,robertsmith@hotmail.com,,,,,3,2.0,MH,2,,,,1.0,,20201129,20210409,20220409,20210513.0,20220513.0,Intriq Medical,,313190424P1,Justin,Beasley,19530923,3.0,0,313190424P1,,Justin,Beasley,19530923,HealthPro,3.0,1,MH,20201225,20201127,20211127,WY,20210409,20211127,,,,U021,,
LongSage,COB04WK2EMPSTATUS,1245319599,863646175P1,,1,0,863646175P1,,,Lisa,,Lindsey,,19520711,7070,2,2,70264 Lewis Path,,East Cynthiaburgh,AR,,47905,1001124168,,wilsonmatthew@gmail.com,GRP01024,GMedicPlus,"Perez, Quinn and Williams",,3,2.0,33,0,,,,0.0,,20210102,20210504,20220504,20201210.0,20211210.0,Aristocrat,,312684193P1,Mary,Aguilar,19480904,1.0,1,312684193P1,,Lisa,Lindsey,19520711,GMedicPlus,,3,33,20201127,20210425,20220425,KY,20210504,20220425,,,,U006,,
LongSage,COB04WK2SUBEMPSTATUS,1245319599,780302928P1,,1,0,780302928P1,,,Vickie,,Allen,,19940531,687,1,1,675 Rachel Orchard,,Yvonneside,AL,,93137,1001127762,,kingjuan@long.com,GRP01024,GMedicPlus,,,3,2.0,AL,0,,,,,,20151105,20201206,20211206,20210101.0,20220101.0,Caprock,,278949333P1,Katherine,Thomas,19660921,1.0,2,278949333P1,,Douglas,Johnson,19930423,GMedicPlus,3.0,1,AL,20210114,20210205,20220205,WA,20210205,20211206,,,,D008,,
LongSage,COB04DIFFPAYERAREA,1245319599,786146343P1,,1,0,786146343P1,,,Daniel,,Morgan,,20071229,3681,1,0,097 Laura Mission Apt. 290,,Brownchester,WA,,51373,1001128143,,zgallagher@stevenson.biz,GRP01023,HealthPro,Davis Inc,2.0,3,2.0,MH,2,,,,,,20201230,20201229,20211229,20210215.0,20220215.0,LongSage,,370246776P1,Daniel,Morgan,20071229,,0,370246776P1,,Daniel,Morgan,20071229,HealthPro,,1,MH,20210128,20210311,20220311,NV,20210311,20211229,,,,D011,,
LongSage,COB04DIFFFIRSTNAME,1245319599,708097101P1,,1,0,708097101P1,,,Amanda,,Thompson,,19760907,9699,1,1,440 Rachel Gateway Apt. 654,,Novakchester,WA,,70755,1001130471,,kstark@taylor-boone.com,GRP01023,HealthPro,Murphy-Smith,0.0,3,1.0,35,0,,,,,,20210420,20210406,20220406,,,Intriq Medical,,863080747P1,Aaron,Thomas,19661127,2.0,1,863080747P1,,Savannah,Davidson,19630516,GMedicPlus,2.0,1,35,20210409,20210429,20220429,RI,20210429,20220406,,,,D002,,
LongSage,COB04WK2OVERLAPSTART,1245319599,735010322P1,,2,1,501072320P1,,,James,,Moon,,19551210,6563,2,0,85424 Mathews Mountains,,Jameston,WV,,50220,1001124403,,perrylance@white.biz,GRP01023,HealthPro,Lee and Sons,,3,2.0,MH,2,,,,0.0,,20210103,20210420,20220420,20201214.0,20211214.0,Intriq Medical,,174697437P1,James,Moon,19551210,,0,174697437P1,,James,Moon,19551210,HealthPro,,3,MH,20210127,20210111,20220111,UT,20210420,20220111,,,,U006,,
LongSage,COB04WK2DEPEMPSTATUS,1245319599,882356766P1,,1,0,882356766P1,,,Heather,,Jones,,19460821,5881,1,1,052 Lara Lock,,Barnettstad,ME,,14657,1001125253,,michael85@erickson.com,GRP01023,HealthPro,Henry-Washington,3.0,1,,35,0,0.0,,,0.0,,20201231,20210507,20220507,,,Caprock,,116550666P1,Aimee,Jones,19461224,,1,116550666P1,,Heather,Jones,19460821,GMedicPlus,,3,35,20210315,20201213,20211213,PA,20210507,20211213,,,,U007,,
LongSage,COB04WK2SUBEMPSTATUS,1245319599,548032118P1,,2,1,216983845P1,,,Brian,,Jordan,,19510315,1999,2,9,4298 Williams Tunnel Apt. 763,,South Pamelamouth,SC,,81370,1001129563,,ricejohnny@gmail.com,GRP01024,GMedicPlus,Nelson and Sons,1.0,3,2.0,52,0,,,,,,20210122,20210520,20220520,20201120.0,20211120.0,Aristocrat,,908635786P1,Darryl,Underwood,20130528,3.0,2,908635786P1,,Jonathan,Cuevas,20050110,GMedicPlus,3.0,1,52,20201218,20210214,20220214,MA,20210520,20220214,,,,D009,,
LongSage,COB03Test1,1245319599,694576809P1,,2,1,119121908P1,,,Andrew,,Mathis,,19760426,5562,1,9,"PSC 1974, Box 2368",,Nolanfurt,SC,,96921,1001129640,,johnsonjustin@gmail.com,GRP01024,GMedicPlus,"Savage, Blanchard and Hodge",0.0,3,2.0,AL,0,,,,,,20210211,20210210,20220210,20210226.0,20220226.0,Grey Leaf,,738829570P1,Keith,Carpenter,19840308,3.0,2,738829570P1,,Melissa,Small,19720322,GMedicPlus,2.0,1,AL,20210217,20210105,20220105,NM,20210210,20220105,,,,D011,,
LongSage,COB04WK2OVERLAPSTART,1245319599,651112453P1,,1,0,651112453P1,,,Anthony,,Clark,,19460124,2564,2,1,6303 Daniel Tunnel,,Allenmouth,CT,,76382,1001125281,,aking@gmail.com,GRP01023,HealthPro,Henry-Washington,3.0,1,,MH,0,0.0,,,0.0,,20210219,20210113,20220113,,,Grey Leaf,,641613775P1,Anthony,Clark,19480708,,1,641613775P1,,Anthony,Clark,19460124,GMedicPlus,,3,MH,20210427,20210226,20220226,LA,20210226,20220113,,,,U007,,
LongSage,COB04WK2EMPSTATUS,1245319599,742399962P1,,1,0,742399962P1,,,Kimberly,,Holland,,19520824,8556,2,1,475 Rachel Rue,,Ronaldfurt,WA,,37954,1001126215,,aaron80@hall.org,,,,,3,0.0,98,1,,,,0.0,,20210210,20210314,20220314,,,Caprock,,878234491P1,Andrew,Roth,19610922,3.0,1,878234491P1,,Kimberly,Holland,19520824,HealthPro,,2,98,20210101,20201125,20211125,NC,20210314,20211125,,,,U041,,
LongSage,COB04WK2PRIMACYDET,1245319599,248334360P1,,2,1,337328705P1,,,Christopher,,Johnson,,19490625,32,1,1,870 Garza Key Suite 369,,Tapiafort,AK,,8568,1001125456,,gerald06@gutierrez-mccall.org,,,,,3,1.0,52,0,,,,1.0,,20210110,20210121,20220121,,,Caprock,,334050841P1,Christopher,Johnson,19490625,0.0,0,334050841P1,,Christopher,Johnson,19490625,GMedicPlus,0.0,1,52,20210420,20201212,20211212,MN,20210121,20211212,,,,U007,,
LongSage,COB04DIFFLASTNAME,1245319599,932583218P1,,1,0,932583218P1,,,Joseph,,Singh,,19640803,7638,2,0,8173 Mueller Mission,,New Nathan,CT,,98761,1001128981,,karicruz@gmail.com,GRP01024,GMedicPlus,Conrad Group,2.0,3,1.0,52,0,,,,,,20210126,20201205,20211205,,,Aristocrat,,522358367P1,George,Howell,19940604,2.0,1,522358367P1,,Ricky,Benson,19510130,GMedicPlus,1.0,1,52,20210402,20210310,20220310,MA,20210310,20211205,,,,D003,,
LongSage,COB04WK2SUBEMPSTATUS,1245319599,523388436P1,,2,1,936849741P1,,,Louis,,Floyd,,19450703,9277,1,1,756 Powers Overpass,,East Jeffreyside,VT,,23999,1001125504,,michellewhitaker@yahoo.com,,,,,3,1.0,1,2,,,,1.0,,20210428,20210429,20220429,,,Caprock,,789683367P1,Louis,Floyd,19450703,0.0,0,789683367P1,,Louis,Floyd,19450703,HealthPro,0.0,1,1,20210517,20210314,20220314,WY,20210429,20220314,,,,U007,,
LongSage,COB04WK2PBM,1245319599,728019994P1,,2,1,728019995P1,,,Dylan,,Butler,,19500216,5097,1,1,60625 Davila Summit,,Wilsontown,CO,,71483,1001125902,,ymurray@gmail.com,,,,,3,1.0,MH,0,,,,0.0,,20201124,20210106,20220106,,,Caprock,,911214230P1,Dylan,Butler,19500216,0.0,0,911214230P1,,Dylan,Butler,19500216,HealthPro,0.0,1,MH,20210220,20210124,20220124,SD,20210124,20220106,,,,U007,,
